"CubeId";"plimoinchq"
"PublishingDate";"2025-04-22 09:00"

"Date";"D0";"D1";"Value"
"2017-Q4";"EH";"AP";"167.12225374"
"2017-Q4";"EH";"TP";"169.23066946"
"2017-Q4";"MH";"TP1";"149.63019041"
"2017-Q4";"MH";"TP2";"135.64371485"
"2017-Q4";"MH";"TP";"145.97237192"
"2017-Q4";"MW";"AP";"149.09246826"
"2017-Q4";"BF";"AP";"128.77395328"
"2017-Q4";"GF";"AP";"114.84649423"
"2017-Q4";"VF";"AP";"114.61227306"
"2018-Q1";"EW";"TP3";"94.0386"
"2018-Q1";"EW";"TP1";"213.37212841"
"2018-Q1";"EW";"TP2";"192.86368726"
"2018-Q1";"EW";"AP";"181.01244045"
"2018-Q1";"EW";"TP";"192.35019229"
"2018-Q1";"EH";"TP3";"92.3773"
"2018-Q1";"EH";"TP1";"172.41490678"
"2018-Q1";"EH";"TP2";"173.18587505"
"2018-Q1";"EH";"AP";"167.29246093"
"2018-Q1";"EH";"TP";"168.84389725"
"2018-Q1";"MH";"TP1";"153.11936957"
"2018-Q1";"MH";"TP2";"138.06809546"
"2018-Q1";"MH";"TP";"146.57508634"
"2018-Q1";"MW";"AP";"148.56516269"
"2018-Q1";"BF";"AP";"128.01250266"
"2018-Q1";"GF";"AP";"111.70313346"
"2018-Q1";"VF";"AP";"113.93162149"
"2018-Q2";"EW";"TP3";"95.2072"
"2018-Q2";"EW";"TP1";"215.86940938"
"2018-Q2";"EW";"TP2";"192.8331467"
"2018-Q2";"EW";"AP";"180.1823078"
"2018-Q2";"EW";"TP";"193.08756881"
"2018-Q2";"EH";"TP3";"94.1561"
"2018-Q2";"EH";"TP1";"173.01263131"
"2018-Q2";"EH";"TP2";"175.6596818"
"2018-Q2";"EH";"AP";"166.98113799"
"2018-Q2";"EH";"TP";"171.31077242"
"2018-Q2";"MH";"TP1";"152.59533967"
"2018-Q2";"MH";"TP2";"138.94208846"
"2018-Q2";"MH";"TP";"145.80959504"
"2018-Q2";"MW";"AP";"147.40931127"
"2018-Q2";"BF";"AP";"128.22156124"
"2018-Q2";"GF";"AP";"112.47252066"
"2018-Q2";"VF";"AP";"114.61214005"
"2018-Q3";"EW";"TP3";"95.3523"
"2018-Q3";"EW";"TP1";"218.11303535"
"2018-Q3";"EW";"TP2";"190.74620788"
"2018-Q3";"EW";"AP";"180.13655156"
"2018-Q3";"EW";"TP";"194.21739261"
"2018-Q3";"EH";"TP3";"95.1912"
"2018-Q3";"EH";"TP1";"176.32235353"
"2018-Q3";"EH";"TP2";"175.14551804"
"2018-Q3";"EH";"AP";"168.37906229"
"2018-Q3";"EH";"TP";"172.83992997"
"2018-Q3";"MH";"TP1";"149.3971781"
"2018-Q3";"MH";"TP2";"138.53929169"
"2018-Q3";"MH";"TP";"145.54893205"
"2018-Q3";"MW";"AP";"146.50323657"
"2018-Q3";"BF";"AP";"127.41418402"
"2018-Q3";"GF";"AP";"111.19686067"
"2018-Q3";"VF";"AP";"116.85658977"
"2018-Q4";"EW";"TP3";"96.7464"
"2018-Q4";"EW";"TP1";"215.63777513"
"2018-Q4";"EW";"TP2";"192.02891174"
"2018-Q4";"EW";"AP";"179.58266522"
"2018-Q4";"EW";"TP";"195.02283276"
"2018-Q4";"EH";"TP3";"96.594"
"2018-Q4";"EH";"TP1";"179.04536625"
"2018-Q4";"EH";"TP2";"174.46643384"
"2018-Q4";"EH";"AP";"167.01035818"
"2018-Q4";"EH";"TP";"175.0684663"
"2018-Q4";"MH";"TP1";"152.19497252"
"2018-Q4";"MH";"TP2";"138.85848913"
"2018-Q4";"MH";"TP";"142.60849651"
"2018-Q4";"MW";"AP";"145.95938717"
"2018-Q4";"BF";"AP";"126.15682551"
"2018-Q4";"GF";"AP";"115.54734506"
"2018-Q4";"VF";"AP";"116.87726984"
"2019-Q1";"EW";"TP3";"98.1662"
"2019-Q1";"EW";"TP1";"216.21505323"
"2019-Q1";"EW";"TP2";"191.00071261"
"2019-Q1";"EW";"AP";"178.37522719"
"2019-Q1";"EW";"TP";"197.34692892"
"2019-Q1";"EH";"TP3";"97.0706"
"2019-Q1";"EH";"TP1";"179.70830797"
"2019-Q1";"EH";"TP2";"173.49631354"
"2019-Q1";"EH";"AP";"167.20039873"
"2019-Q1";"EH";"TP";"176.16961617"
"2019-Q1";"MH";"TP1";"155.14744037"
"2019-Q1";"MH";"TP2";"140.6748746"
"2019-Q1";"MH";"TP";"142.62499725"
"2019-Q1";"MW";"AP";"145.70419716"
"2019-Q1";"BF";"AP";"127.350971"
"2019-Q1";"GF";"AP";"116.92976479"
"2019-Q1";"VF";"AP";"117.12163174"
"2019-Q2";"EW";"TP3";"98.0654"
"2019-Q2";"EW";"TP1";"222.72044553"
"2019-Q2";"EW";"TP2";"192.14089382"
"2019-Q2";"EW";"AP";"176.81893543"
"2019-Q2";"EW";"TP";"198.41467345"
"2019-Q2";"EH";"TP3";"98.2087"
"2019-Q2";"EH";"TP1";"180.92832853"
"2019-Q2";"EH";"TP2";"174.36942181"
"2019-Q2";"EH";"AP";"167.30780117"
"2019-Q2";"EH";"TP";"178.92647504"
"2019-Q2";"MH";"TP1";"157.35821743"
"2019-Q2";"MH";"TP2";"143.28165375"
"2019-Q2";"MH";"TP";"142.90172851"
"2019-Q2";"MW";"AP";"145.15301087"
"2019-Q2";"BF";"AP";"126.54213656"
"2019-Q2";"GF";"AP";"115.51937787"
"2019-Q2";"VF";"AP";"116.85982435"
"2019-Q3";"EW";"TP3";"97.9807"
"2019-Q3";"EW";"TP1";"223.85218761"
"2019-Q3";"EW";"TP2";"194.1667515"
"2019-Q3";"EW";"AP";"176.52298773"
"2019-Q3";"EW";"TP";"198.49997685"
"2019-Q3";"EH";"TP3";"98.5735"
"2019-Q3";"EH";"TP1";"178.69445088"
"2019-Q3";"EH";"TP2";"175.58207218"
"2019-Q3";"EH";"AP";"169.21824139"
"2019-Q3";"EH";"TP";"178.60417366"
"2019-Q3";"MH";"TP1";"157.54209486"
"2019-Q3";"MH";"TP2";"145.34883721"
"2019-Q3";"MH";"TP";"143.90356569"
"2019-Q3";"MW";"AP";"145.05960027"
"2019-Q3";"BF";"AP";"127.0994766"
"2019-Q3";"GF";"AP";"111.99992479"
"2019-Q3";"VF";"AP";"116.96207525"
"2019-Q4";"EW";"TP3";"100"
"2019-Q4";"EW";"TP1";"221.8708108"
"2019-Q4";"EW";"TP2";"195.55125725"
"2019-Q4";"EW";"AP";"177.35199416"
"2019-Q4";"EW";"TP";"199.00720698"
"2019-Q4";"EH";"TP3";"100"
"2019-Q4";"EH";"TP1";"180.48591449"
"2019-Q4";"EH";"TP2";"177.43500194"
"2019-Q4";"EH";"AP";"169.34341604"
"2019-Q4";"EH";"TP";"179.24994483"
"2019-Q4";"MH";"TP1";"160.39305775"
"2019-Q4";"MH";"TP2";"145.75163399"
"2019-Q4";"MH";"TP";"144.70205231"
"2019-Q4";"MW";"AP";"144.6927139"
